,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,index,measure,gpt_rating,transcription_quality
0,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p5,U,U,conversation_quality,2.0,2.0,5.0,2.75,2.5
1,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p5,U,U,liked,0.0,0.0,4.0,2.75,2.5
2,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p5,U,U,other_liked,1.0,1.0,4.0,3.5,2.5
3,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p5,U,U,video_conf_quality,3.0,3.0,7.0,5.0,2.5
4,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p7,S,S,conversation_quality,14.0,14.0,7.0,3.0,2.25
5,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p7,S,S,liked,12.0,12.0,7.0,2.75,2.25
6,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p7,S,S,other_liked,13.0,13.0,7.0,3.75,2.25
7,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p7,S,S,video_conf_quality,15.0,15.0,3.0,3.25,2.25
8,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p8,U,S,conversation_quality,22.0,22.0,6.0,4.0,3.0
9,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p8,U,S,liked,20.0,20.0,5.0,4.0,3.0
10,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p8,U,S,other_liked,21.0,21.0,5.0,4.25,3.0
11,mkprolific_participant_real_21,mkprolific_participant_real_21p1,mkprolific_participant_real_21p8,U,S,video_conf_quality,23.0,23.0,7.0,6.0,3.0
12,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p5,S,S,conversation_quality,30.0,30.0,7.0,4.0,3.5
13,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p5,S,S,liked,28.0,28.0,7.0,4.0,3.5
14,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p5,S,S,other_liked,29.0,29.0,6.0,5.25,3.5
15,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p5,S,S,video_conf_quality,31.0,31.0,7.0,5.25,3.5
16,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p6,U,S,conversation_quality,38.0,38.0,7.0,4.0,3.75
17,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p6,U,S,liked,36.0,36.0,7.0,4.0,3.75
18,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p6,U,S,other_liked,37.0,37.0,6.0,5.0,3.75
19,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p6,U,S,video_conf_quality,39.0,39.0,7.0,5.25,3.75
20,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p8,S,U,conversation_quality,50.0,50.0,7.0,3.5,3.0
21,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p8,S,U,liked,48.0,48.0,7.0,3.5,3.0
22,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p8,S,U,other_liked,49.0,49.0,6.0,5.0,3.0
23,mkprolific_participant_real_21,mkprolific_participant_real_21p2,mkprolific_participant_real_21p8,S,U,video_conf_quality,51.0,51.0,7.0,4.0,3.0
24,mkprolific_participant_real_21,mkprolific_participant_real_21p3,mkprolific_participant_real_21p8,U,U,conversation_quality,66.0,66.0,7.0,2.2,2.8
25,mkprolific_participant_real_21,mkprolific_participant_real_21p3,mkprolific_participant_real_21p8,U,U,liked,64.0,64.0,7.0,2.2,2.8
26,mkprolific_participant_real_21,mkprolific_participant_real_21p3,mkprolific_participant_real_21p8,U,U,other_liked,65.0,65.0,7.0,3.2,2.8
27,mkprolific_participant_real_21,mkprolific_participant_real_21p3,mkprolific_participant_real_21p8,U,U,video_conf_quality,67.0,67.0,7.0,4.8,2.8
28,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p1,U,U,conversation_quality,6.0,6.0,7.0,3.0,2.5
29,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p1,U,U,liked,4.0,4.0,7.0,3.0,2.5
30,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p1,U,U,other_liked,5.0,5.0,6.0,3.75,2.5
31,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p1,U,U,video_conf_quality,7.0,7.0,5.0,5.0,2.5
32,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p2,S,S,conversation_quality,34.0,34.0,6.0,4.0,3.5
33,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p2,S,S,liked,32.0,32.0,4.0,4.0,3.5
34,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p2,S,S,other_liked,33.0,33.0,5.0,5.75,3.5
35,mkprolific_participant_real_21,mkprolific_participant_real_21p5,mkprolific_participant_real_21p2,S,S,video_conf_quality,35.0,35.0,6.0,5.25,3.5
36,mkprolific_participant_real_21,mkprolific_participant_real_21p6,mkprolific_participant_real_21p2,S,U,conversation_quality,42.0,42.0,7.0,4.25,3.75
37,mkprolific_participant_real_21,mkprolific_participant_real_21p6,mkprolific_participant_real_21p2,S,U,liked,40.0,40.0,7.0,4.5,3.75
38,mkprolific_participant_real_21,mkprolific_participant_real_21p6,mkprolific_participant_real_21p2,S,U,other_liked,41.0,41.0,6.0,4.75,3.75
39,mkprolific_participant_real_21,mkprolific_participant_real_21p6,mkprolific_participant_real_21p2,S,U,video_conf_quality,43.0,43.0,7.0,5.25,3.75
40,mkprolific_participant_real_21,mkprolific_participant_real_21p7,mkprolific_participant_real_21p1,S,S,conversation_quality,18.0,18.0,7.0,3.75,2.25
41,mkprolific_participant_real_21,mkprolific_participant_real_21p7,mkprolific_participant_real_21p1,S,S,liked,16.0,16.0,6.0,4.0,2.25
42,mkprolific_participant_real_21,mkprolific_participant_real_21p7,mkprolific_participant_real_21p1,S,S,other_liked,17.0,17.0,6.0,3.75,2.25
43,mkprolific_participant_real_21,mkprolific_participant_real_21p7,mkprolific_participant_real_21p1,S,S,video_conf_quality,19.0,19.0,4.0,3.25,2.25
44,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p1,S,U,conversation_quality,26.0,26.0,6.0,4.0,3.0
45,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p1,S,U,liked,24.0,24.0,6.0,4.0,3.0
46,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p1,S,U,other_liked,25.0,25.0,6.0,4.75,3.0
47,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p1,S,U,video_conf_quality,27.0,27.0,6.0,6.0,3.0
48,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p2,U,S,conversation_quality,54.0,54.0,7.0,4.0,3.0
49,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p2,U,S,liked,52.0,52.0,7.0,4.0,3.0
50,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p2,U,S,other_liked,53.0,53.0,7.0,4.5,3.0
51,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p2,U,S,video_conf_quality,55.0,55.0,7.0,5.0,3.0
52,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p3,U,U,conversation_quality,70.0,70.0,7.0,3.2,3.2
53,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p3,U,U,liked,68.0,68.0,7.0,3.2,3.2
54,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p3,U,U,other_liked,69.0,69.0,7.0,2.4,3.2
55,mkprolific_participant_real_21,mkprolific_participant_real_21p8,mkprolific_participant_real_21p3,U,U,video_conf_quality,71.0,71.0,7.0,5.2,3.2
56,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p5,U,U,conversation_quality,86.0,86.0,6.0,4.0,3.5
57,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p5,U,U,liked,84.0,84.0,7.0,4.0,3.5
58,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p5,U,U,other_liked,85.0,85.0,6.0,4.75,3.5
59,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p5,U,U,video_conf_quality,87.0,87.0,6.0,4.5,3.5
60,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p7,S,S,conversation_quality,102.0,102.0,7.0,3.75,3.5
61,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p7,S,S,liked,100.0,100.0,7.0,3.75,3.5
62,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p7,S,S,other_liked,101.0,101.0,6.0,4.25,3.5
63,mkprolific_participant_real_22,mkprolific_participant_real_22p1,mkprolific_participant_real_22p7,S,S,video_conf_quality,103.0,103.0,7.0,6.0,3.5
64,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p5,S,S,conversation_quality,114.0,114.0,6.0,4.0,3.25
65,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p5,S,S,liked,112.0,112.0,6.0,4.0,3.25
66,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p5,S,S,other_liked,113.0,113.0,6.0,4.5,3.25
67,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p5,S,S,video_conf_quality,115.0,115.0,6.0,6.0,3.25
68,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p7,U,U,conversation_quality,130.0,130.0,6.0,4.25,3.25
69,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p7,U,U,liked,128.0,128.0,6.0,4.5,3.25
70,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p7,U,U,other_liked,129.0,129.0,5.0,4.25,3.25
71,mkprolific_participant_real_22,mkprolific_participant_real_22p2,mkprolific_participant_real_22p7,U,U,video_conf_quality,131.0,131.0,6.0,6.0,3.25
72,mkprolific_participant_real_22,mkprolific_participant_real_22p3,mkprolific_participant_real_22p5,U,S,conversation_quality,142.0,142.0,7.0,4.0,3.0
73,mkprolific_participant_real_22,mkprolific_participant_real_22p3,mkprolific_participant_real_22p5,U,S,liked,140.0,140.0,6.0,4.25,3.0
